5.08151e-02 2.81481e+12  -2.81479e+12 0.00000e+00 
5.09485e-02 2.84470e+12  -2.84468e+12 0.00000e+00 
5.10819e-02 2.87483e+12  -2.87481e+12 0.00000e+00 
5.12153e-02 2.90520e+12  -2.90517e+12 0.00000e+00 
5.13487e-02 2.93580e+12  -2.93578e+12 0.00000e+00 
5.14820e-02 2.96665e+12  -2.96663e+12 0.00000e+00 
5.16154e-02 2.99773e+12  -2.99771e+12 0.00000e+00 
5.17488e-02 3.02907e+12  -3.02905e+12 0.00000e+00 
5.18821e-02 3.06064e+12  -3.06062e+12 0.00000e+00 
5.20155e-02 3.09246e+12  -3.09244e+12 0.00000e+00 
5.21488e-02 3.12453e+12  -3.12451e+12 0.00000e+00 
5.22821e-02 3.15685e+12  -3.15683e+12 0.00000e+00 
5.24155e-02 3.18941e+12  -3.18939e+12 0.00000e+00 
5.25488e-02 3.22223e+12  -3.22221e+12 0.00000e+00 
5.26821e-02 3.25530e+12  -3.25528e+12 0.00000e+00 
5.28154e-02 3.28862e+12  -3.28860e+12 0.00000e+00 
5.29487e-02 3.32220e+12  -3.32218e+12 0.00000e+00 
5.30820e-02 3.35603e+12  -3.35601e+12 0.00000e+00 
5.32153e-02 3.39012e+12  -3.39010e+12 0.00000e+00 
5.33485e-02 3.42447e+12  -3.42445e+12 0.00000e+00 
5.34818e-02 3.45908e+12  -3.45906e+12 0.00000e+00 
5.36151e-02 3.49395e+12  -3.49393e+12 0.00000e+00 
5.37483e-02 3.52908e+12  -3.52906e+12 0.00000e+00 
5.38816e-02 3.56448e+12  -3.56445e+12 0.00000e+00 
5.40148e-02 3.60014e+12  -3.60011e+12 0.00000e+00 
5.41480e-02 3.63606e+12  -3.63604e+12 0.00000e+00 
5.42813e-02 3.67226e+12  -3.67224e+12 0.00000e+00 
5.44145e-02 3.70872e+12  -3.70870e+12 0.00000e+00 
5.45477e-02 3.74546e+12  -3.74543e+12 0.00000e+00 
5.46809e-02 3.78246e+12  -3.78244e+12 0.00000e+00 
5.48141e-02 3.81974e+12  -3.81972e+12 0.00000e+00 
5.49473e-02 3.85729e+12  -3.85727e+12 0.00000e+00 
5.50805e-02 3.89512e+12  -3.89510e+12 0.00000e+00 
5.52136e-02 3.93322e+12  -3.93320e+12 0.00000e+00 
5.53468e-02 3.97161e+12  -3.97158e+12 0.00000e+00 
